Prominence Rank,Prominence (m),Height (m),Dominance (%),Peak Name,Country,Location,Google Map Link,Open Street Map Link,Lat/Lon,Map 1:50 000,Map 1:25 000,Grid Ref,Section,Peak Number,Section Order,Family Size,Prominence Group,Height Group,Traditional List,Notes,Wikipedia,"Adapted from 2010 Jim Bloomer, Roddy Urquhart and UK Metric Association"
14,874,874,1,Goat Fell,S,Arran,"https://www.google.com/maps/search/?api=1&query=55.62578938211955,-5.191803963760268",https://www.openstreetmap.org/search?query=55.62578938211955%2C-5.191803963760268,"55.62578938211955,-5.191803963760268","62,69",361N,NR 99145 41535,20C,580.1010101,223.1010101,12,P500,H750,Corbett,highest peak on Arran,http://en.wikipedia.org/wiki/Goat_Fell,
15,873,888,0.98,Sgurr Dhomhnuill,S,Ardgour,"https://www.google.com/maps/search/?api=1&query=56.75460847695104,-5.453693870790802",https://www.openstreetmap.org/search?query=56.75460847695104%2C-5.453693870790802,"56.75460847695104,-5.453693870790802",40,391,NM 88960 67880,18B,187.1010101,212.1010101,6,P500,H750,Corbett,,http://en.wikipedia.org/wiki/Sgurr_Dhomhnuill,
16,867,1128,0.77,Creag Meagaidh,S,Glen Roy to Creag Meaghaidh,"https://www.google.com/maps/search/?api=1&query=56.952082964944246,-4.601952957781382",https://www.openstreetmap.org/search?query=56.952082964944246%2C-4.601952957781382,"56.952082964944246,-4.601952957781382","34,42",401,NN 41850 87550,09C,203.1010101,143.1010101,10,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Creag_Meagaidh,
17,861,928,0.93,Bla Bheinn,S,Skye - Strathaird,"https://www.google.com/maps/search/?api=1&query=57.21952652563704,-6.093057917175236",https://www.openstreetmap.org/search?query=57.21952652563704%2C-6.093057917175236,"57.21952652563704,-6.093057917175236",32,411,NG 53000 21735,17B,535.1010101,199.1010101,9,P500,H750,Munro,,http://en.wikipedia.org/wiki/Blaven,
18,851,896,0.95,Beinn Bhan,S,Applecross,"https://www.google.com/maps/search/?api=1&query=57.44229432122054,-5.661626354809222",https://www.openstreetmap.org/search?query=57.44229432122054%2C-5.661626354809222,"57.44229432122054,-5.661626354809222",24,"428N,428S",NG 80365 45030,13B,141.1010101,174.1010101,7,P500,H750,Corbett,,http://en.wikipedia.org/wiki/Beinn_Bh%C3%A0n_%28Applecross%29,
19,845,1150,0.73,Bidean nam Bian,S,Glencoe - South Side,"https://www.google.com/maps/search/?api=1&query=56.643137496426434,-5.0292360370249565",https://www.openstreetmap.org/search?query=56.643137496426434%2C-5.0292360370249565,"56.643137496426434,-5.0292360370249565",41,384,NN 14350 54250,03B,232.1010101,122.1010101,11,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Bidean_nam_Bian,
20,842,987,0.85,Gaor Bheinn,S,Locheil,"https://www.google.com/maps/search/?api=1&query=56.93609622152295,-5.28448290537145",https://www.openstreetmap.org/search?query=56.93609622152295%2C-5.28448290537145,"56.93609622152295,-5.28448290537145",41,399,NN 00270 87560,10D,176.1010101,155.1010101,9,P500,H750,Munro,,http://en.wikipedia.org/wiki/Gaor_Bheinn,
21,839,1040,0.81,Sgurr na Ciche,S,Glen Dessary,"https://www.google.com/maps/search/?api=1&query=57.01336851196524,-5.456891706611457",https://www.openstreetmap.org/search?query=57.01336851196524%2C-5.456891706611457,"57.01336851196524,-5.456891706611457","33,40","398E,413S",NM 90221 96673,10B,171.1010101,149.1010101,9,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Sgurr_na_C%C3%ACche,
21,839,1150,0.73,Sgurr na Lapaich,S,Glen Cannich,"https://www.google.com/maps/search/?api=1&query=57.36919939801478,-5.059939883529304",https://www.openstreetmap.org/search?query=57.36919939801478%2C-5.059939883529304,"57.36919939801478,-5.059939883529304",25,430,NH 16090 35111,12B,149.0510101,167.0510101,15,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Sgurr_na_Lapaich,
23,835,998,0.84,Ben More Assynt,S,Assynt,"https://www.google.com/maps/search/?api=1&query=58.13805123196752,-4.858200930598896",https://www.openstreetmap.org/search?query=58.13805123196752%2C-4.858200930598896,"58.13805123196752,-4.858200930598896",15,442E,NC 31830 20135,16E,111.1010101,191.1010101,18,P500,H750,Munro,,http://en.wikipedia.org/wiki/Ben_More_Assynt,
24,831,985,0.84,Ben Vorlich,S,Strathyre to Strathallan,"https://www.google.com/maps/search/?api=1&query=56.34258742369511,-4.219490470720248",https://www.openstreetmap.org/search?query=56.34258742369511%2C-4.219490470720248,"56.34258742369511,-4.219490470720248",57,"365N,368W",NN 62910 18905,01B,288.1010101,102.1010101,11,P500,H750,Munro,,http://en.wikipedia.org/wiki/Ben_Vorlich_%28Loch_Earn%29,
26,820,974,0.84,Ben Lomond,S,Loch Lomond to Strathyre,"https://www.google.com/maps/search/?api=1&query=56.190265638226855,-4.633029193003928",https://www.openstreetmap.org/search?query=56.190265638226855%2C-4.633029193003928,"56.190265638226855,-4.633029193003928",56,364S,NN 36707 02859,01C,296.1010101,105.1010101,8,P500,H750,Munro,,http://en.wikipedia.org/wiki/Ben_Lomond,
27,818,962,0.85,Ben Klibreck,S,East Sutherland,"https://www.google.com/maps/search/?api=1&query=58.2350747981241,-4.411199451087624",https://www.openstreetmap.org/search?query=58.2350747981241%2C-4.411199451087624,"58.2350747981241,-4.411199451087624",16,443,NC 58525 29905,16D,106.1010101,189.1010101,10,P500,H750,Munro,,http://en.wikipedia.org/wiki/Ben_Klibreck,
27,818,1083,0.76,Sgurr a'Choire Ghlais,S,Strathfarrar,"https://www.google.com/maps/search/?api=1&query=57.44386822763083,-4.90290121305197",https://www.openstreetmap.org/search?query=57.44386822763083%2C-4.90290121305197,"57.44386822763083,-4.90290121305197",25,430,NH 25885 43005,12A,147.1010101,166.1010101,15,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Sgurr_a%27_Choire_Ghlais,
29,812,812,1,Askival,S,Rum,"https://www.google.com/maps/search/?api=1&query=56.97434243190848,-6.2914393886638935",https://www.openstreetmap.org/search?query=56.97434243190848%2C-6.2914393886638935,"56.97434243190848,-6.2914393886638935",39,397,NM 39315 95210,17D,550.1010101,202.1010101,7,P500,H750,Corbett,highest peak on Rum,http://en.wikipedia.org/wiki/Askival,
30,810,1084,0.75,Beinn Dearg,S,Inverlael,"https://www.google.com/maps/search/?api=1&query=57.786254162546754,-4.929512968619597",https://www.openstreetmap.org/search?query=57.786254162546754%2C-4.929512968619597,"57.786254162546754,-4.929512968619597",20,436N,NH 25935 81170,15A,116.0510101,181.0510101,26,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Beinn_Dearg_%28Ullapool%29,
31,799,799,1,An Cliseam,S,North Harris,"https://www.google.com/maps/search/?api=1&query=57.96361455368844,-6.812429922358427",https://www.openstreetmap.org/search?query=57.96361455368844%2C-6.812429922358427,"57.96361455368844,-6.812429922358427","13,14",456,NB 15490 07290,24B,505.1010101,228.1010101,8,P500,H750,Corbett,highest peak on Harris,http://en.wikipedia.org/wiki/Clisham,
32,795,1020,0.78,Ladhar Bheinn,S,Knoydart,"https://www.google.com/maps/search/?api=1&query=57.07517273004176,-5.591663490658843",https://www.openstreetmap.org/search?query=57.07517273004176%2C-5.591663490658843,"57.07517273004176,-5.591663490658843",33,413S,NG 82405 03970,10B,169.1010101,148.1010101,13,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Ladhar_Bheinn,
32,795,1108,0.72,Meall a'Bhuiridh,S,Black Mount,"https://www.google.com/maps/search/?api=1&query=56.61227145870202,-4.852103261366806",https://www.openstreetmap.org/search?query=56.61227145870202%2C-4.852103261366806,"56.61227145870202,-4.852103261366806",41,384,NN 25065 50350,03C,242.1010101,129.1010101,12,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Meall_a%27_Bhuiridh,
34,786,1120,0.7,A'Chralaig,S,North Strath Cluanie,"https://www.google.com/maps/search/?api=1&query=57.18474596254906,-5.154573838597463",https://www.openstreetmap.org/search?query=57.18474596254906%2C-5.154573838597463,"57.18474596254906,-5.154573838597463",33,"414N,414S",NH 09450 14850,11B,156.1010101,162.1010101,15,P500,H1000,Munro,,http://en.wikipedia.org/wiki/A%27_Chr%C3%A0laig,
35,785,785,1,Beinn an Oir,S,Jura,"https://www.google.com/maps/search/?api=1&query=55.90234617715203,-6.004074680632987",https://www.openstreetmap.org/search?query=55.90234617715203%2C-6.004074680632987,"55.90234617715203,-6.004074680632987","60,61",355S,NR 49812 74940,20A,575.1010101,222.1010101,8,P500,H750,Corbett,highest peak on Jura,http://en.wikipedia.org/wiki/Beinn_an_%C3%92ir,
36,783,1148,0.68,Ben Alder,S,Ben Alder Group,"https://www.google.com/maps/search/?api=1&query=56.81371966377549,-4.465115498423141",https://www.openstreetmap.org/search?query=56.81371966377549%2C-4.465115498423141,"56.81371966377549,-4.465115498423141",42,"385E,393",NN 49615 71845,04B,205.1010101,135.1010101,20,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Ben_Alder,
37,774,882,0.88,Rois-Bheinn,S,Moidart,"https://www.google.com/maps/search/?api=1&query=56.83753026326381,-5.6803885852807605",https://www.openstreetmap.org/search?query=56.83753026326381%2C-5.6803885852807605,"56.83753026326381,-5.6803885852807605",40,390E,NM 75605 77825,18A,181.1010101,208.1010101,8,P500,H750,Corbett,alternative Prominence 524m - interchangeable with Beinn Odhar Bheag,NA,
38,772,927,0.83,Ben Hope,S,Ben Hope,"https://www.google.com/maps/search/?api=1&query=58.41303125437908,-4.6078460225843045",https://www.openstreetmap.org/search?query=58.41303125437908%2C-4.6078460225843045,"58.41303125437908,-4.6078460225843045",9,"447N,447S",NC 47750 50140,16B,104.1010101,186.1010101,2,P500,H750,Munro,,http://en.wikipedia.org/wiki/Ben_Hope,
39,765,1035,0.74,Gleouraich,S,Loch Quoich,"https://www.google.com/maps/search/?api=1&query=57.09708928509689,-5.238029823782337",https://www.openstreetmap.org/search?query=57.09708928509689%2C-5.238029823782337,"57.09708928509689,-5.238029823782337",33,414S,NH 03945 05335,10A,163.1010101,146.1010101,3,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Gleouraich,
40,759,1130,0.67,Binnein Mor,S,Mamores,"https://www.google.com/maps/search/?api=1&query=56.754384090353206,-4.925294230887173",https://www.openstreetmap.org/search?query=56.754384090353206%2C-4.925294230887173,"56.754384090353206,-4.925294230887173",41,392,NN 21250 66350,04A,225.1010101,131.1010101,14,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Binnein_M%C3%B2r,
41,756,1062,0.71,Bidein a'Ghlas Thuill,S,An Teallach,"https://www.google.com/maps/search/?api=1&query=57.80706464558527,-5.251703758578582",https://www.openstreetmap.org/search?query=57.80706464558527%2C-5.251703758578582,"57.80706464558527,-5.251703758578582",19,435N,NH 06900 84360,14A,124.1010101,175.1010101,13,P500,H1000,Munro,,http://en.wikipedia.org/wiki/An_Teallach,
42,755,853,0.89,Creach Bheinn,S,Kingairloch,"https://www.google.com/maps/search/?api=1&query=56.6619241617326,-5.476138931410542",https://www.openstreetmap.org/search?query=56.6619241617326%2C-5.476138931410542,"56.6619241617326,-5.476138931410542",49,"376,383E",NM 87065 57640,18C,193.1010101,214.1010101,6,P500,H750,Corbett,,NA,
43,750,1064,0.7,Carnedd Llewelyn,W,Carneddau,"https://www.google.com/maps/search/?api=1&query=53.16017971142993,-3.970270237508049",https://www.openstreetmap.org/search?query=53.16017971142993%2C-3.970270237508049,"53.16017971142993,-3.970270237508049",115,"17E,17W",SH 68365 64375,30B,364.1010101,240.1010101,6,P500,H1000,Hewitt,,http://en.wikipedia.org/wiki/Carnedd_Llewelyn,
44,729,1024,0.71,Sgorr Dhearg,S,Beinn a'Bheithir,"https://www.google.com/maps/search/?api=1&query=56.653883555696,-5.171505597011384",https://www.openstreetmap.org/search?query=56.653883555696%2C-5.171505597011384,"56.653883555696,-5.171505597011384",41,384,NN 05685 55840,03B,240.1010101,123.1010101,2,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Beinn_a%27_Bheithir,
45,727,962,0.76,Sgorr Ruadh,S,Coulin,"https://www.google.com/maps/search/?api=1&query=57.49859406651219,-5.407695178152555",https://www.openstreetmap.org/search?query=57.49859406651219%2C-5.407695178152555,"57.49859406651219,-5.407695178152555",25,429,NG 95910 50500,13B,133.1010101,171.1010101,9,P500,H750,Munro,,http://en.wikipedia.org/wiki/Sgorr_Ruadh,
46,716,1083,0.66,Schiehallion,S,Loch Rannoch to Glen Lyon,"https://www.google.com/maps/search/?api=1&query=56.666782430598595,-4.100127549376002",https://www.openstreetmap.org/search?query=56.666782430598595%2C-4.100127549376002,"56.666782430598595,-4.100127549376002","42,51,52",386W,NN 71390 54750,02A,248.0510101,115.0510101,25,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Schiehallion,
47,714,739,0.97,Sgurr na Coinnich,S,Skye - Sleat,"https://www.google.com/maps/search/?api=1&query=57.23604586740988,-5.70935999301223",https://www.openstreetmap.org/search?query=57.23604586740988%2C-5.70935999301223,"57.23604586740988,-5.70935999301223",33,"412,413N",NG 76250 22245,17C,545.1010101,201.1010101,4,P500,H500,Graham,,NA,
48,712,950,0.75,Helvellyn,E,Lakes: E Fells,"https://www.google.com/maps/search/?api=1&query=54.52698525694285,-3.017586536741763",https://www.openstreetmap.org/search?query=54.52698525694285%2C-3.017586536741763,"54.52698525694285,-3.017586536741763",90,5S,NY 34240 15110,34C,328.1010101,252.1010101,17,P500,H750,Hewitt,,http://en.wikipedia.org/wiki/Helvellyn,
48,712,1011,0.7,Beinn Ime,S,Arrochar Alps,"https://www.google.com/maps/search/?api=1&query=56.23677552433742,-4.817093346141716",https://www.openstreetmap.org/search?query=56.23677552433742%2C-4.817093346141716,"56.23677552433742,-4.817093346141716",56,364S,NN 25500 08485,01D,268.1010101,112.1010101,7,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Beinn_%C3%8Cme,
50,709,931,0.76,Skiddaw,E,Lakes: N Fells,"https://www.google.com/maps/search/?api=1&query=54.651418511199175,-3.147708726746705",https://www.openstreetmap.org/search?query=54.651418511199175%2C-3.147708726746705,"54.651418511199175,-3.147708726746705","89,90",4S,NY 26045 29085,34A,332.1010101,249.1010101,5,P500,H750,Hewitt,,http://en.wikipedia.org/wiki/Skiddaw,
51,706,1027,0.69,Sgurr a'Mhaoraich,S,Loch Quoich,"https://www.google.com/maps/search/?api=1&query=57.10545069865082,-5.330521972219404",https://www.openstreetmap.org/search?query=57.10545069865082%2C-5.330521972219404,"57.10545069865082,-5.330521972219404",33,414S,NG 98390 06535,10A,162.1010101,145.1010101,20,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Sgurr_a%27_Mhaoraich,
52,705,843,0.84,Merrick,S,Galloway Hills,"https://www.google.com/maps/search/?api=1&query=55.13917931400057,-4.468280962221378",https://www.openstreetmap.org/search?query=55.13917931400057%2C-4.468280962221378,"55.13917931400057,-4.468280962221378",77,318,NX 42765 85540,27B,312.1010101,233.1010101,15,P500,H750,Corbett,highest peak in Scottish Lowlands,http://en.wikipedia.org/wiki/Merrick%2C_Galloway,
53,696,732,0.95,Beinn na Caillich,S,Skye - Strathaird,"https://www.google.com/maps/search/?api=1&query=57.23753709993652,-5.976234036185644",https://www.openstreetmap.org/search?query=57.23753709993652%2C-5.976234036185644,"57.23753709993652,-5.976234036185644",32,"411,412",NG 60165 23320,17C,540.1010101,200.1010101,4,P500,H500,Graham,,NA,
53,696,741,0.94,Beinn Mhor,S,Cowal,"https://www.google.com/maps/search/?api=1&query=56.072571011429034,-5.041585015864604",https://www.openstreetmap.org/search?query=56.072571011429034%2C-5.041585015864604,"56.072571011429034,-5.041585015864604",56,363N,NS 10785 90810,19C,276.1010101,221.1010101,12,P500,H500,Graham,,NA,
55,695,734,0.95,Doune Hill,S,Luss Hills,"https://www.google.com/maps/search/?api=1&query=56.13618913701845,-4.752341190052376",https://www.openstreetmap.org/search?query=56.13618913701845%2C-4.752341190052376,"56.13618913701845,-4.752341190052376",56,364S,NS 29065 97132,01E,280.1010101,114.1010101,7,P500,H500,Graham,,NA,
56,691,847,0.82,Canisp,S,Assynt,"https://www.google.com/maps/search/?api=1&query=58.120775443364714,-5.052817827414683",https://www.openstreetmap.org/search?query=58.120775443364714%2C-5.052817827414683,"58.120775443364714,-5.052817827414683",15,442E,NC 20290 18715,16F,114.1010101,193.1010101,4,P500,H750,Corbett,,http://en.wikipedia.org/wiki/Canisp,
56,691,1046,0.66,Glas Leathad Mor,S,Ben Wyvis,"https://www.google.com/maps/search/?api=1&query=57.678803594894305,-4.579194648436265",https://www.openstreetmap.org/search?query=57.678803594894305%2C-4.579194648436265,"57.678803594894305,-4.579194648436265",20,437S,NH 46300 68365,15B,121.0510101,182.0510101,17,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Ben_Wyvis,
58,687,885,0.78,Garbh Bheinn,S,Ardgour,"https://www.google.com/maps/search/?api=1&query=56.70438530513785,-5.424898198180773",https://www.openstreetmap.org/search?query=56.70438530513785%2C-5.424898198180773,"56.70438530513785,-5.424898198180773",40,391,NM 90440 62205,18B,191.1010101,213.1010101,5,P500,H750,Corbett,,NA,
58,687,911,0.75,Foinaven,S,Reay Forest,"https://www.google.com/maps/search/?api=1&query=58.41196942914327,-4.885677517925647",https://www.openstreetmap.org/search?query=58.41196942914327%2C-4.885677517925647,"58.41196942914327,-4.885677517925647",9,445,NC 31520 50685,16B,102.1010101,184.1010101,12,P500,H750,Corbett,,http://en.wikipedia.org/wiki/Foinaven,
60,671,719,0.93,The Storr,S,Skye - Trotternish,"https://www.google.com/maps/search/?api=1&query=57.507022065591,-6.183054352319758",https://www.openstreetmap.org/search?query=57.507022065591%2C-6.183054352319758,"57.507022065591,-6.183054352319758",23,"408,409",NG 49540 54035,17A,525.1010101,197.1010101,7,P500,H500,Graham,,http://en.wikipedia.org/wiki/The_Storr,
60,671,886,0.76,Pen y Fan,W,Beacons,"https://www.google.com/maps/search/?api=1&query=51.884041735869395,-3.4367938443805666",https://www.openstreetmap.org/search?query=51.884041735869395%2C-3.4367938443805666,"51.884041735869395,-3.4367938443805666",160,12E,SO 01205 21585,32A,388.1010101,246.1010101,17,P500,H750,Hewitt,,http://en.wikipedia.org/wiki/Pen_y_Fan,
62,670,905,0.74,Aran Fawddwy,W,Arans,"https://www.google.com/maps/search/?api=1&query=52.78701706835047,-3.687840256829395",https://www.openstreetmap.org/search?query=52.78701706835047%2C-3.687840256829395,"52.78701706835047,-3.687840256829395","124,125",23E,SH 86270 22385,30E,348.1010101,243.1010101,22,P500,H750,Hewitt,,http://en.wikipedia.org/wiki/Aran_Fawddwy,
62,670,1155,0.58,Lochnagar,S,Glen Muick,"https://www.google.com/maps/search/?api=1&query=56.96019610909318,-3.2452830960590306",https://www.openstreetmap.org/search?query=56.96019610909318%2C-3.2452830960590306,"56.96019610909318,-3.2452830960590306",44,388N,NO 24370 86130,07A,215.0503101,140.0503101,62,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Lochnagar,
64,665,1121,0.59,Carn nan Gabhar,S,Beinn a'Ghlo,"https://www.google.com/maps/search/?api=1&query=56.839772173134655,-3.687984437406397",https://www.openstreetmap.org/search?query=56.839772173134655%2C-3.687984437406397,"56.839772173134655,-3.687984437406397",43,394E,NN 97120 73305,06B,217.1010101,139.1010101,12,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Beinn_a%27_Ghl%C3%B2,
65,663,1067,0.62,Sgurr Fhuaran,S,Kintail,"https://www.google.com/maps/search/?api=1&query=57.196101386499215,-5.34762906517885",https://www.openstreetmap.org/search?query=57.196101386499215%2C-5.34762906517885,"57.196101386499215,-5.34762906517885",33,"414N,414S",NG 97850 16670,11A,155.1010101,161.1010101,10,P500,H1000,Munro,,http://en.wikipedia.org/wiki/Sgurr_Fhuaran,
66,662,937,0.71,Beinn Sgulaird,S,Glen Creran,"https://www.google.com/maps/search/?api=1&query=56.56618054441195,-5.170261456414327",https://www.openstreetmap.org/search?query=56.56618054441195%2C-5.170261456414327,"56.56618054441195,-5.170261456414327",50,384,NN 05310 46080,03B,237.1010101,126.1010101,9,P500,H750,Munro,,http://en.wikipedia.org/wiki/Beinn_Sgulaird,
67,659,766,0.86,Dun da Ghaoithe,S,Mull,"https://www.google.com/maps/search/?api=1&query=56.460385829795186,-5.779471012160561",https://www.openstreetmap.org/search?query=56.460385829795186%2C-5.779471012160561,"56.460385829795186,-5.779471012160561",49,375E,NM 67250 36210,17E,555.1010101,203.1010101,2,P500,H750,Corbett,,NA,
68,658,933,0.71,Fionn Bheinn,S,The Fannaichs,"https://www.google.com/maps/search/?api=1&query=57.61104810214084,-5.102612311426381",https://www.openstreetmap.org/search?query=57.61104810214084%2C-5.102612311426381,"57.61104810214084,-5.102612311426381",20,435S,NH 14755 62135,14B,132.1010101,179.1010101,6,P500,H750,Munro,,http://en.wikipedia.org/wiki/Fionn_Bheinn,
69,657,743,0.88,Ben Mor Coigach,S,Coigach,"https://www.google.com/maps/search/?api=1&query=57.98641482966698,-5.22564932564975",https://www.openstreetmap.org/search?query=57.98641482966698%2C-5.22564932564975,"57.98641482966698,-5.22564932564975",15,438S,NC 09400 04240,16F,119.1010101,196.1010101,5,P500,H500,Graham,,NA,
70,653,840,0.78,Broad Law,S,Manor Hills,"https://www.google.com/maps/search/?api=1&query=55.498115783048846,-3.352678028339032",https://www.openstreetmap.org/search?query=55.498115783048846%2C-3.352678028339032,"55.498115783048846,-3.352678028339032",72,"330,336",NT 14645 23535,28B,304.0110101,235.0110101,75,P500,H750,Corbett,,http://en.wikipedia.org/wiki/Broad_Law,
71,651,849,0.77,Cul Mor,S,Coigach,"https://www.google.com/maps/search/?api=1&query=58.058022840118234,-5.116721086790524",https://www.openstreetmap.org/search?query=58.058022840118234%2C-5.116721086790524,"58.058022840118234,-5.116721086790524",15,439E,NC 16205 11905,16F,117.1010101,194.1010101,2,P500,H750,Corbett,,NA,
